# .test .cputime .temperature .time_mat1 .time_mat2
1 0.000881  0.000 0.000013 0.000002
2 0.001440  0.000 0.000002 0.000001
3 0.002606  0.000 0.000016 0.000002
4 0.003405  0.000 0.000003 0.000002
5 0.004188  0.000 0.000015 0.000003
6 0.005123  0.000 0.000013 0.000003
7 0.005801 -0.974 0.000016 0.000004
8 0.006653 -0.974 0.000014 0.000004
9 0.007323 -0.974 0.000017 0.000004
10 0.008040 -0.487 0.000015 0.000005
11 0.008850 -0.487 0.000017 0.000005
12 0.009530 -0.487 0.000018 0.000007
13 0.010453 -0.487 0.000021 0.000007
14 0.011160  0.000 0.000020 0.000008
15 0.011910  0.000 0.000022 0.000010
16 0.012526 -0.487 0.000020 0.000011
17 0.013270 -0.487 0.000023 0.000013
18 0.014252  0.000 0.000027 0.000014
19 0.015547 -0.487 0.000026 0.000015
20 0.016142 -0.487 0.000031 0.000017
21 0.016793  0.000 0.000028 0.000018
22 0.017756 -0.487 0.000032 0.000020
23 0.018650 -0.974 0.000032 0.000022
24 0.019185  0.000 0.000035 0.000023
25 0.019808 -0.487 0.000035 0.000025
26 0.020865 -0.487 0.000038 0.000029
27 0.021868  0.000 0.000041 0.000030
28 0.022400  0.487 0.000045 0.000033
29 0.023389 -0.974 0.000046 0.000035
30 0.024024  0.000 0.000048 0.000037
31 0.024814 -0.487 0.000036 0.000040
32 0.025788  0.000 0.000058 0.000045
33 0.026025  1.948 0.000037 0.000046
34 0.027273  0.487 0.000058 0.000047
35 0.027826  0.487 0.000042 0.000050
36 0.028541  0.000 0.000061 0.000053
37 0.029631  0.487 0.000046 0.000055
38 0.031281  0.000 0.000066 0.000059
39 0.030513  0.000 0.000051 0.000062
40 0.030717  0.487 0.000067 0.000064
41 0.031558  0.000 0.000056 0.000068
42 0.032190  0.000 0.000073 0.000072
43 0.033103  0.974 0.000061 0.000078
44 0.033921 -0.487 0.000080 0.000079
45 0.034461  0.487 0.000067 0.000085
46 0.035112  0.000 0.000085 0.000086
47 0.036421  0.000 0.000073 0.000092
48 0.036813  0.487 0.000091 0.000096
49 0.037448  0.000 0.000079 0.000098
50 0.037900  0.974 0.000097 0.000101
51 0.039023  0.000 0.000085 0.000104
52 0.039775  0.487 0.000105 0.000109
53 0.040508  0.487 0.000135 0.000116
54 0.041160  0.974 0.000111 0.000118
55 0.042290  0.974 0.000099 0.000125
56 0.042679  0.974 0.000120 0.000127
57 0.044162  0.487 0.000113 0.000128
58 0.044917  0.487 0.000127 0.000134
59 0.045294  1.948 0.000125 0.000138
60 0.046069  0.487 0.000131 0.000142
61 0.046742  0.974 0.000132 0.000148
62 0.047359  0.974 0.000140 0.000151
63 0.048279  0.974 0.000140 0.000155
64 0.049494  0.974 0.000150 0.000161
65 0.049987  0.487 0.000153 0.000165
66 0.050066  0.974 0.000157 0.000169
67 0.051944  1.461 0.000173 0.000173
68 0.052087  0.000 0.000167 0.000179
69 0.052699  1.461 0.000170 0.000184
70 0.053767  0.974 0.000172 0.000190
71 0.054504  1.948 0.000187 0.000193
72 0.055580  0.487 0.000185 0.000200
73 0.056145  0.000 0.000202 0.000204
74 0.057078  1.461 0.000220 0.000209
75 0.057560  0.487 0.000203 0.000215
76 0.058009  1.948 0.000206 0.000223
77 0.059586  0.974 0.000241 0.000226
78 0.059358  0.974 0.000215 0.000233
79 0.060586  1.461 0.000240 0.000237
80 0.061236  1.461 0.000232 0.000243
81 0.062865  1.948 0.000249 0.000251
82 0.063170  1.461 0.000234 0.000257
83 0.063678  1.948 0.000249 0.000264
84 0.064391  1.948 0.000245 0.000269
85 0.064996  2.435 0.000358 0.000278
86 0.066132  1.948 0.000264 0.000283
87 0.066378  1.461 0.000288 0.000290
88 0.067349  1.461 0.000277 0.000296
89 0.067744  0.974 0.000307 0.000306
90 0.068730  0.974 0.000279 0.000316
91 0.069274  1.461 0.000317 0.000318
92 0.070458  2.435 0.000295 0.000328
93 0.071296  1.461 0.000327 0.000333
94 0.071643  1.461 0.000315 0.000339
95 0.072512  1.948 0.000352 0.000347
96 0.072936  1.461 0.000328 0.000353
97 0.074436  0.974 0.000352 0.000361
98 0.074597  1.948 0.000313 0.000370
99 0.075780  1.948 0.000346 0.000376
100 0.076485  1.948 0.000355 0.000438
101 0.077471  0.487 0.000350 0.000392
102 0.078184  2.435 0.000331 0.000399
103 0.079058  2.922 0.000361 0.000407
104 0.079730  1.461 0.000343 0.000415
105 0.080139  0.974 0.000382 0.000423
106 0.081422  2.922 0.000356 0.000431
107 0.081963  1.948 0.000385 0.000438
108 0.083139  1.948 0.000367 0.000447
109 0.083707  2.435 0.000406 0.000455
110 0.084636  2.435 0.000396 0.000463
111 0.085020  2.922 0.000410 0.000470
112 0.086289  0.974 0.000415 0.000479
113 0.085976  2.435 0.000493 0.000486
114 0.087098  0.974 0.000456 0.000493
115 0.088456  1.948 0.000437 0.000505
116 0.089129  1.948 0.000439 0.000511
117 0.089580  1.948 0.000449 0.000521
118 0.090886  1.948 0.000451 0.000528
119 0.091054  1.948 0.000466 0.000576
120 0.092004  2.435 0.000468 0.000547
121 0.092806  3.896 0.000475 0.000558
122 0.093490  2.922 0.000487 0.000565
123 0.094242  3.409 0.000491 0.000575
124 0.095183  2.435 0.000503 0.000583
125 0.095695  2.922 0.000506 0.000595
126 0.096855  2.435 0.000517 0.000603
127 0.097122  3.409 0.000522 0.000660
128 0.098208  2.922 0.000531 0.000622
129 0.102906  2.435 0.000542 0.000692
130 0.099928  2.435 0.000550 0.000644
131 0.100022  3.409 0.000555 0.000654
132 0.101621  1.948 0.000567 0.000664
133 0.102130  3.409 0.000555 0.000674
134 0.103110  2.922 0.000588 0.000687
135 0.103799  3.409 0.000571 0.000696
136 0.104746  2.922 0.000606 0.000706
137 0.104731  3.409 0.000591 0.000754
138 0.106095  3.409 0.000624 0.000778
139 0.107427  2.922 0.000608 0.000737
140 0.107449  2.435 0.000641 0.000749
141 0.108713  2.922 0.000662 0.000761
142 0.109916  3.409 0.000659 0.000826
143 0.109451  3.896 0.000642 0.000781
144 0.110274  2.435 0.000677 0.000793
145 0.111000  2.435 0.000660 0.000877
146 0.112271  2.922 0.000696 0.000816
147 0.114018  2.922 0.000679 0.000826
148 0.114137  3.896 0.000716 0.000837
149 0.116331  3.896 0.000699 0.000903
150 0.116340  2.922 0.000737 0.000859
151 0.116523  4.383 0.000770 0.000872
152 0.116694  3.409 0.000749 0.000884
153 0.117433  3.409 0.000735 0.000893
154 0.118441  3.409 0.000769 0.000907
155 0.120208  2.435 0.000814 0.000918
156 0.120175  3.409 0.000789 0.000929
157 0.121501  3.896 0.000775 0.000940
158 0.122141  3.896 0.000808 0.000955
159 0.122796  2.435 0.000796 0.001020
160 0.124032  2.922 0.000827 0.000979
161 0.124693  2.922 0.000906 0.000990
162 0.126448  4.383 0.000852 0.000999
163 0.125467  4.383 0.000909 0.001013
164 0.127004  4.383 0.000866 0.001025
165 0.130202  3.896 0.000871 0.001037
166 0.131575  3.896 0.000885 0.001107
167 0.129152  2.922 0.000891 0.001120
168 0.131913  4.383 0.000908 0.001078
169 0.130230  4.870 0.000911 0.001089
170 0.132055  3.409 0.001008 0.001105
171 0.137978  4.383 0.001003 0.001118
172 0.133710  3.896 0.001019 0.001129
173 0.134223  4.870 0.000958 0.001145
174 0.134468  3.896 0.000968 0.001160
175 0.135942  3.896 0.001044 0.001170
176 0.138428  2.922 0.000989 0.001183
177 0.169296  3.896 0.001072 0.001204
178 0.138821  3.409 0.001010 0.001213
179 0.142458  3.409 0.001029 0.001293
180 0.140670  4.870 0.001033 0.001244
181 0.162719  4.870 0.001052 0.001261
182 0.142025  3.409 0.001063 0.001273
183 0.142277  4.870 0.001071 0.001330
184 0.143100  3.896 0.001117 0.001304
185 0.143639  3.896 0.001102 0.001361
186 0.144436  3.896 0.001092 0.001331
187 0.143933  4.383 0.001123 0.001354
188 0.145089  3.896 0.001161 0.001361
189 0.145684  4.383 0.001150 0.001384
190 0.146848  2.922 0.001135 0.001443
191 0.148134  3.409 0.001173 0.001435
192 0.149187  3.896 0.001162 0.001432
193 0.151138  4.870 0.001277 0.001452
194 0.151006  3.896 0.001185 0.001462
195 0.150635  4.870 0.001220 0.001523
196 0.152195  4.383 0.001214 0.001533
197 0.152578  3.409 0.001250 0.001549
198 0.153308  4.870 0.001237 0.001618
199 0.160830  4.383 0.001271 0.001601
200 0.161696  3.409 0.001267 0.001625
201 0.156161  4.870 0.001299 0.001635
202 0.158480  3.896 0.001347 0.001598
203 0.159456  4.870 0.001326 0.001681
204 0.158952  4.383 0.001311 0.001633
205 0.160827  4.383 0.001351 0.001654
206 0.160577  5.357 0.001339 0.001679
207 0.162619  4.870 0.001377 0.001728
208 0.163108  4.870 0.001365 0.001702
209 0.163045  5.357 0.001449 0.001726
210 0.164104  4.870 0.001431 0.001741
211 0.164019  4.383 0.001426 0.001784
212 0.164903  4.870 0.001471 0.001766
213 0.166597  4.870 0.001459 0.001833
214 0.167193  4.870 0.001502 0.001821
215 0.167508  4.383 0.001524 0.001841
216 0.168616  5.357 0.001534 0.001854
217 0.169848  4.870 0.001511 0.001886
218 0.170160  4.383 0.001517 0.001944
219 0.169971  5.357 0.001540 0.001923
220 0.171290  5.844 0.001589 0.001931
221 0.172936  4.870 0.001603 0.001956
222 0.173389  4.383 0.001580 0.002116
223 0.173074  4.383 0.001589 0.002035
224 0.180536  4.383 0.001652 0.002026
225 0.175466  4.383 0.001623 0.002090
226 0.175797  4.870 0.001637 0.002136
227 0.175768  3.896 0.001649 0.002137
228 0.177462  4.870 0.001710 0.002099
229 0.179347  5.844 0.001721 0.002119
230 0.186187  4.870 0.001699 0.002240
231 0.179087  5.844 0.001709 0.002224
232 0.179407  5.357 0.001730 0.002187
233 0.189290  4.870 0.001782 0.002203
234 0.181813  4.383 0.001760 0.002275
235 0.182468  5.357 0.001754 0.002329
236 0.208832  5.357 0.001842 0.002278
237 0.191228  4.870 0.001829 0.002301
238 0.192260  5.357 0.001870 0.002319
239 0.184745  5.357 0.001812 0.002471
240 0.192799  5.844 0.001900 0.002377
241 0.188840  4.383 0.001879 0.002424
242 0.187102  4.870 0.001925 0.002481
243 0.188398  5.357 0.001880 0.002577
244 0.200543  4.383 0.002018 0.002468
245 0.191206  5.357 0.001947 0.002507
246 0.192135  5.357 0.001953 0.002598
247 0.191604  5.357 0.002002 0.002712
248 0.194354  4.383 0.002037 0.002696
249 0.196346  6.331 0.001971 0.002694
250 0.194505  5.357 0.002014 0.002733
251 0.197221  6.331 0.002046 0.002635
252 0.198474  5.357 0.002110 0.002681
253 0.215747  6.331 0.002035 0.002789
254 0.199062  6.331 0.002076 0.002860
255 0.211856  5.357 0.002061 0.002829
256 0.234504  4.383 0.002181 0.002841
257 0.212569  4.383 0.002105 0.002943
258 0.202973  4.870 0.002144 0.002940
259 0.203164  5.844 0.002127 0.002946
260 0.202964  4.870 0.002260 0.002920
261 0.219074  5.844 0.002229 0.002945
262 0.205196  5.844 0.002268 0.002935
263 0.205289  5.844 0.002216 0.003051
264 0.206616  5.844 0.002247 0.003109
265 0.206280  6.331 0.002262 0.003131
266 0.221173  5.844 0.002319 0.003138
267 0.207871  6.818 0.002303 0.003196
268 0.209354  5.357 0.002324 0.003249
269 0.214630  5.357 0.002333 0.003244
270 0.209513  5.357 0.002442 0.003295
271 0.231170  5.357 0.002432 0.003243
272 0.211830  5.844 0.002402 0.003342
273 0.211628  5.844 0.002506 0.003319
274 0.213365  5.844 0.002474 0.003321
275 0.214037  5.844 0.002531 0.003340
276 0.214603  6.331 0.002522 0.003397
277 0.215529  5.357 0.002489 0.003556
278 0.216155  6.331 0.002560 0.003532
279 0.222440  5.357 0.002580 0.003529
280 0.216796  6.331 0.002604 0.003564
281 0.218518  6.331 0.002564 0.003625
282 0.219488  5.844 0.002619 0.003613
283 0.218396  5.844 0.002672 0.003696
284 0.221282  5.357 0.002681 0.003665
285 0.252034  5.844 0.002694 0.003700
286 0.221950  6.818 0.002640 0.003781
287 0.224069  6.331 0.002749 0.003786
288 0.222885  6.331 0.002734 0.003781
289 0.223152  5.844 0.002783 0.003827
290 0.223076  6.818 0.002774 0.003857
291 0.225358  6.818 0.002848 0.003905
292 0.258132  6.331 0.002837 0.003935
293 0.226837  6.818 0.002820 0.003954
294 0.227858  5.844 0.002861 0.004055
295 0.230240  6.331 0.002914 0.004023
296 0.230763  5.844 0.002891 0.004102
297 0.237534  6.331 0.002896 0.004122
298 0.238192  7.305 0.002981 0.004130
299 0.232162  6.818 0.003012 0.004181
300 0.233104  5.844 0.003030 0.004224
301 0.233327  5.357 0.003029 0.004256
302 0.236787  6.818 0.003008 0.004280
303 0.235671  6.331 0.003080 0.004324
